"Disease1","Disease2","Benjamini-Hochberg p-value"
3,116,0.811877830310893
3,117,0.811877830310893
3,118,0.811877830310893
3,119,0.811877830310893
3,120,0.811877830310893
3,121,0.836499064483542
3,122,0.834263450158168
3,123,0.813220035356008
3,124,0.811877830310893
3,125,0.811877830310893
3,126,0.839501234553001
3,127,0.814587709068134
3,128,0.811877830310893
3,129,0.811877830310893
3,130,0.811877830310893
3,131,0.811877830310893
3,132,0.817402611092077
3,133,0.811877830310893
3,134,0.811877830310893
3,135,0.811877830310893
3,136,0.811877830310893
3,137,0.811877830310893
3,138,0.811877830310893
3,139,0.811877830310893
3,140,0.817402611092077
3,141,0.811877830310893
3,142,0.811877830310893
3,143,0.813796525687274
3,144,0.811877830310893
3,145,0.811877830310893
3,146,0.811877830310893
3,147,0.812162662357123
3,148,0.811877830310893
3,149,0.811877830310893
3,150,0.811877830310893
3,151,0.811877830310893
3,152,0.851888316900874
3,153,0.811877830310893
3,154,0.811877830310893
3,155,0.811877830310893
3,156,0.815671374826152
3,157,0.811877830310893
4,5,0.52914867169396
4,6,0.217181139288716
4,7,1.83726907561617e-13
4,8,4.48179686926354e-05
4,9,0.811877830310893
4,10,0.823986487917709
4,11,0.811877830310893
4,12,0.811877830310893
4,13,0.398520731622801
4,14,0.811877830310893
4,15,0.00333235199048136
4,16,0.811877830310893
4,17,0.811877830310893
4,18,0.811877830310893
4,19,0.811877830310893
4,20,0.811877830310893
4,21,0.811877830310893
4,22,0.811877830310893
4,23,0.811877830310893
4,24,0.811877830310893
4,25,0.811877830310893
4,26,0.811877830310893
4,27,0.811877830310893
4,28,0.818143475748164
4,29,0.811877830310893
4,30,0.712662291845185
4,31,0.111013472061179
4,32,0.607503791247511
4,33,0.0271879803266289
4,34,0.811877830310893
4,35,0.811877830310893
4,36,0.818248932534488
4,37,0.674338275350469
4,38,0.815671374826152
4,39,0.811877830310893
4,40,0.212246697111465
4,41,0.811877830310893
4,42,0.816619103653212
4,43,0.715965217096924
4,44,0.811877830310893
4,45,0.0468358965116599
4,46,0.811877830310893
4,47,0.811877830310893
4,48,0.811877830310893
4,49,0.811877830310893
4,50,0.811877830310893
4,51,0.811877830310893
4,52,0.811877830310893
4,53,0.687757834348958
4,54,0.811877830310893
4,55,0.811877830310893
4,56,0.820585435946817
4,57,0.811877830310893
4,58,0.811877830310893
4,59,0.811877830310893
4,60,0.811877830310893
4,61,0.811877830310893
4,62,0.811877830310893
4,63,0.811877830310893
4,64,0.811877830310893
4,65,0.811877830310893
4,66,0.811877830310893
4,67,0.752277325886137
4,68,0.811877830310893
4,69,0.811877830310893
4,70,0.83674134024555
4,71,0.811877830310893
4,72,0.811877830310893
4,73,0.811877830310893
4,74,0.811877830310893
4,75,0.811877830310893
4,76,0.868062229984777
4,77,0.811877830310893
4,78,0.811877830310893
4,79,0.823986487917709
4,80,0.811877830310893
4,81,0.811877830310893
4,82,0.811877830310893
4,83,0.811877830310893
4,84,0.811877830310893
4,85,0.811877830310893
4,86,0.812162662357123
4,87,0.811877830310893
4,88,0.811877830310893
4,89,0.811877830310893
4,90,0.811877830310893
4,91,0.811877830310893
4,92,0.811877830310893
4,93,0.747557137291932
4,94,0.811877830310893
4,95,0.811877830310893
4,96,0.811877830310893
4,97,0.811877830310893
4,98,0.811877830310893
4,99,0.811877830310893
4,100,0.812162662357123
4,101,0.811877830310893
4,102,0.811877830310893
4,103,0.816619103653212
4,104,0.811877830310893
4,105,0.811877830310893
4,106,0.811877830310893
4,107,0.811877830310893
4,108,0.811877830310893
4,109,0.811877830310893
4,110,0.811877830310893
4,111,0.811877830310893
4,112,0.71102892216288
4,113,0.811877830310893
4,114,0.811877830310893
4,115,0.811877830310893
4,116,0.811877830310893
4,117,0.811877830310893
4,118,0.811877830310893
4,119,0.828647212062594
4,120,0.811877830310893
4,121,0.816429331098468
4,122,0.811877830310893
4,123,0.811877830310893
4,124,0.811877830310893
4,125,0.816619103653212
4,126,0.811877830310893
4,127,0.811877830310893
4,128,0.83981204292355
4,129,0.812162662357123
4,130,0.811877830310893
