dog_id,dd_age_years,dd_weight_lbs,recode.sex_2,recode.sex_3,recode.sex_4,mixed.breed
78286,10,102,1,0,0,0
67276,3.333333333,60,1,0,0,1
19291,9.5,70,1,0,0,1
56422,10.25,66.4,1,0,0,0
91235,6.666666667,36,0,0,1,0
23149,7.083333333,82,1,0,0,0
93825,6.083333333,82,0,0,0,0
59111,13.16666667,19.2,0,0,1,0
2010,11.91666667,84.65,0,0,1,0
12687,3.333333333,48.6,0,0,1,0
61024,13.75,17,0,0,1,0
75397,3.916666667,28,0,0,1,1
90058,9.333333333,29,0,0,1,0
98426,1.083333333,64,0,0,0,0
42896,9.5,57,0,0,1,0
41099,1.583333333,48,1,0,0,0
1033,5.5,125,0,0,1,1
32823,4.083333333,65,0,0,1,0
27014,2,42,0,0,1,1
32428,2.5,80,1,0,0,0
91178,14.58333333,19,1,0,0,0
81207,3.083333333,15,0,0,1,0
13967,8.583333333,103,0,0,1,0
8811,12.66666667,36.6,1,0,0,1
58982,12.16666667,44,1,0,0,1
78224,9,17,1,0,0,1
60109,7.5,78.1,1,0,0,0
62658,12.41666667,64,0,0,1,0
55971,9.583333333,16,0,1,0,0
69531,2.583333333,83,0,0,1,0
102013,12,89,0,0,1,0
103266,13,85,0,0,1,1
74420,13.83333333,61.8,0,0,1,1
38284,3.25,96.3,0,0,1,0
67635,15.16666667,60,0,0,1,1
47399,5,76,0,0,1,0
45670,7.083333333,21,1,0,0,1
43414,17.58333333,13,0,0,1,0
76682,15.25,15.5,0,0,1,0
58784,10,12,1,0,0,0
20048,16.58333333,5,1,0,0,0
86192,4.416666667,16,0,0,1,0
21997,5.25,15,1,0,0,0
70822,9.166666667,78,1,0,0,1
56462,2.75,62,0,0,1,0
57136,7.416666667,30,1,0,0,0
37880,3.916666667,93,0,0,1,0
37466,4.166666667,75,0,0,1,0
15544,4.083333333,14,0,0,1,0
23176,8.583333333,63,0,0,1,0
13352,15.83333333,14,0,0,1,1
31956,4.5,50,0,0,0,0
70067,4.333333333,65,0,1,0,0
6054,8,39,1,0,0,1
12376,1.166666667,39.3,0,0,1,0
93453,14,33,0,0,1,1
88669,1.333333333,60,1,0,0,0
96178,12.33333333,22,1,0,0,0
62496,1.416666667,75,0,0,1,1
89608,2.5,13,0,0,1,0
33554,6.083333333,29,1,0,0,0
85388,5,30,1,0,0,1
95603,5,56,0,0,1,1
53971,10.66666667,62.5,1,0,0,0
28245,11,45.5,1,0,0,0
37015,8.416666667,20.8,1,0,0,1
82490,6.833333333,92,0,0,1,0
85319,8.166666667,81,0,0,1,0
99822,3,35,1,0,0,1
42423,2.666666667,91,0,0,1,0
75205,5,55,1,0,0,0
35793,3.333333333,45,1,0,0,1
37990,4,49,0,0,1,1
86071,8.333333333,28,0,0,1,1
97280,5.416666667,78,0,0,1,1
91577,4.916666667,35,0,0,1,1
487,6.333333333,28,1,0,0,0
38193,10.33333333,21,1,0,0,0
90516,10.08333333,48,0,0,1,0
42366,10,18.4,1,0,0,0
10438,5.333333333,23.8,1,0,0,1
39742,9.333333333,65,1,0,0,0
20976,7.25,87,0,0,1,1
77456,14,52,0,0,1,0
83282,16,19,0,0,1,0
54310,5.666666667,103,0,0,1,0
15216,7.25,66,0,0,1,1
5475,15.41666667,51.3,0,0,1,1
84621,13.91666667,22,0,0,1,0
76989,6.25,19.3,0,0,1,1
34992,10.66666667,74,0,0,1,1
53462,8.583333333,68,1,0,0,1
53271,8,85.7,0,0,1,1
94829,12.66666667,70,1,0,0,0
69077,6,31,0,0,1,1
78202,6.583333333,12,1,0,0,0
98920,10.08333333,60,1,0,0,0
17728,10.83333333,8,1,0,0,0
56955,7.083333333,62,0,0,1,1
14934,1.666666667,90,1,0,0,1
52825,10.33333333,66.5,1,0,0,1
90261,1.5,42.7,1,0,0,1
62555,2.166666667,39,1,0,0,1
1285,8,33,1,0,0,0
55589,6.416666667,22,1,0,0,0
47558,13.16666667,18,1,0,0,1
89151,7.25,94,0,1,0,0
62111,11.33333333,43,1,0,0,0
94894,10,42,1,0,0,1
17048,5.5,55,1,0,0,1
88088,1.583333333,24.2,1,0,0,1
97453,4.916666667,70,1,0,0,1
74996,7.583333333,63,0,0,1,1
96096,2.083333333,41,1,0,0,0
86367,5.083333333,70,1,0,0,0
86977,9.75,68,0,0,1,0
77932,1.583333333,71,0,0,1,1
75046,9.5,95.7,0,0,1,0
60283,9.416666667,61,0,0,1,1
58459,6,86,0,0,1,0
238,11.08333333,45,0,0,1,1
61585,8.416666667,73,0,0,1,1
35607,11.25,15,1,0,0,1
96737,7.833333333,76,0,1,0,0
84666,7.25,11,0,0,1,1
40243,8,40,1,0,0,1
89813,7.083333333,22,1,0,0,1
79607,1.333333333,22,1,0,0,0
101519,15.75,28.4,0,0,1,1
96056,3.416666667,39,1,0,0,1
65035,12.08333333,21,1,0,0,1
68784,3,65,0,0,1,1
75198,11.08333333,21,0,0,1,0
46475,4.666666667,7,1,0,0,1
18480,6.75,120,0,0,1,1
87072,10.66666667,10.2,0,0,1,1
72680,8.166666667,27.6,0,1,0,0
25690,10,19,1,0,0,0
80946,11.08333333,63,0,0,1,0
89974,12,74,0,0,1,0
12485,6.666666667,57,1,0,0,1
61955,3.583333333,21,0,0,1,0
43603,8.916666667,61,0,0,1,1
29636,7,21,0,0,1,0
28142,12.58333333,95.5,1,0,0,1
36998,4.666666667,98,0,0,1,0
34072,12.83333333,77,0,0,1,0
45494,3.166666667,63,0,0,1,1
96194,12.41666667,44,1,0,0,0
81583,8.333333333,32,1,0,0,0
3017,8.916666667,62,1,0,0,0
30334,5.083333333,76,0,0,1,0
21105,8,10,0,0,1,1
9456,1.833333333,47.5,0,1,0,0
69957,9.583333333,35,0,0,1,1
85950,15.5,48,1,0,0,1
61099,6,50,0,0,1,1
96151,1,56,0,0,0,0
80205,13.08333333,8.8,0,0,1,0
90107,9,69.67,1,0,0,0
99570,2,54,0,0,1,1
84264,3.166666667,54,0,0,0,0
37556,3,17,0,0,1,1
27080,11.58333333,70,1,0,0,0
81426,9.5,48,1,0,0,0
60350,3.25,21,0,0,1,0
97209,9.25,15.2,1,0,0,0
22500,12,98,0,0,1,1
29870,7.666666667,16,0,0,1,0
13514,4,17,1,0,0,1
95773,9.666666667,23,1,0,0,1
46665,1.666666667,18.2,0,0,1,0
18984,10.5,40,0,0,1,0
85701,2.333333333,61,1,0,0,0
55361,13.16666667,28,0,0,1,1
63827,11.33333333,56,1,0,0,1
68018,10.16666667,40,1,0,0,0
48711,15,35,0,0,1,0
34345,11,14,0,0,1,1
43729,12,42,1,0,0,1
21425,8,73,0,0,1,0
71342,3.916666667,62,0,0,1,1
65599,10.5,85,0,1,0,0
