dog_id,hs_condition,days_from_present,months_from_present
88379,410,841,27.68
88379,426,4798,157.68
88379,916,902,29.68
88379,1113,841,27.68
88379,1407,841,27.68
88379,1637,841,27.68
4503,598,1146,37.68
40879,304,841,27.68
40879,307,841,27.68
40879,313,841,27.68
87947,201,3125,102.68
87947,201,3125,102.68
87690,1105,749,24.68
92999,102,1664,54.68
92999,428,1633,53.68
92999,1113,994,32.68
79804,1701,1207,39.68
79804,1801,964,31.68
50377,114,933,30.68
50377,304,1055,34.68
50377,305,9091,298.68
50377,504,9091,298.68
50377,914,9456,310.68
50377,916,9456,310.68
50377,1112,8877,291.68
50377,1117,8877,291.68
76065,102,902,29.68
76065,201,6838,224.68
76065,304,1725,56.68
76065,305,1725,56.68
76065,1105,5194,170.68
76065,1106,3186,104.68
76065,1205,994,32.68
76065,1801,5651,185.68
74929,1805,1845,60.68
102714,432,660,21.68
102714,1017,690,22.68
102714,1605,780,25.68
102714,1616,599,19.68
102714,1617,660,21.68
16154,202,3886,127.68
16154,398,2729,89.68
16154,405,2729,89.68
57419,411,1786,58.68
57419,612,1115,36.68
57419,710,1480,48.68
57419,1198,902,29.68
57419,1605,1177,38.68
15104,404,1572,51.68
15104,1817,1421,46.68
233,305,2882,94.68
233,504,4647,152.68
233,1605,6108,200.68
233,1817,2182,71.68
26157,1703,2425,79.68
92296,304,1207,39.68
92296,305,1207,39.68
92296,306,1207,39.68
92296,313,3643,119.68
94578,202,780,25.68
94578,1622,749,24.68
102086,313,1998,65.68
102086,408,599,19.68
102086,1630,1998,65.68
3105,116,1664,54.68
3105,304,2090,68.68
3105,1215,964,31.68
3105,1630,4343,142.68
3105,1701,1452,47.68
3105,1801,1845,60.68
3105,1816,3947,129.68
3105,1817,1817,59.68
8162,1801,1695,55.68
1852,120,2729,89.68
1852,1605,3003,98.68
1852,1609,3125,102.68
29644,713,1207,39.68
83175,1605,1937,63.68
83175,1801,933,30.68
6880,102,4160,136.68
40933,108,2821,92.68
85173,103,1786,58.68
85173,104,1786,58.68
85173,120,2547,83.68
85173,1612,1025,33.68
82464,202,841,27.68
82464,1216,476,15.68
82464,1701,2090,68.68
82464,1801,1330,43.68
87441,1616,1299,42.68
7023,1312,2852,93.68
81717,411,902,29.68
81717,423,1695,55.68
81717,426,872,28.68
81717,708,841,27.68
81717,1615,841,27.68
81717,1701,1207,39.68
83340,198,964,31.68
83340,1798,2821,92.68
16001,305,1603,52.68
16001,405,3794,124.68
16001,504,1238,40.68
16001,908,1238,40.68
16001,1703,1238,40.68
16001,1807,1876,61.68
11166,412,1725,56.68
11166,424,1391,45.68
11166,1298,2607,85.68
71254,404,1695,55.68
71254,1634,2972,97.68
71254,1898,1845,60.68
66,305,2607,85.68
66,405,3490,114.68
66,708,2272,74.68
66,712,2272,74.68
66,1117,2638,86.68
66,1609,4402,144.68
30753,102,3156,103.68
30753,304,2791,91.68
30753,305,2791,91.68
30753,404,1542,50.68
30753,1305,1511,49.68
30753,1801,2638,86.68
50326,1215,2363,77.68
76061,203,994,32.68
76061,306,3125,102.68
76061,404,4252,139.68
76061,407,4221,138.68
76061,998,1480,48.68
76061,1108,2302,75.68
76061,1113,2302,75.68
76061,1407,1025,33.68
79383,1105,2060,67.68
79383,1813,2121,69.68
2287,303,2516,82.68
2287,698,2638,86.68
2287,305,1025,33.68
2287,306,2516,82.68
2287,313,2638,86.68
2287,432,933,30.68
2287,698,2638,86.68
2287,1801,994,32.68
2287,1803,902,29.68
92577,1637,994,32.68
85835,1801,1360,44.68
35796,411,2607,85.68
35796,1113,2060,67.68
14449,202,5163,169.68
14449,206,2729,89.68
14449,405,4313,141.68
14449,406,4708,154.68
14449,703,994,32.68
14449,705,5163,169.68
14449,708,2791,91.68
14449,1113,2729,89.68
14449,1213,994,32.68
14449,1312,2972,97.68
14449,1618,3612,118.68
14449,1634,5955,195.68
14449,1637,5955,195.68
62250,809,1025,33.68
62250,1198,1786,58.68
22504,202,1055,34.68
22504,408,902,29.68
22504,1698,1207,39.68
22504,1701,1086,35.68
13873,205,1025,33.68
13873,426,3582,117.68
13873,1801,3521,115.68
97737,712,841,27.68
69292,202,2060,67.68
69292,305,1115,36.68
69292,1112,1115,36.68
69292,1298,4313,141.68
69292,1312,3916,128.68
69292,1605,4252,139.68
69292,1637,3916,128.68
69292,1817,1845,60.68
60399,405,1452,47.68
60399,713,1177,38.68
60399,1008,1207,39.68
60399,1634,1695,55.68
81851,108,2486,81.68
81851,1816,2029,66.68
87835,504,5285,173.68
87835,202,3247,106.68
87835,1805,2607,85.68
38188,405,1542,50.68
38188,1801,2791,91.68
32899,1617,1695,55.68
32899,1701,1177,38.68
95758,306,690,22.68
95758,1105,4343,142.68
95758,1113,1511,49.68
24386,1105,994,32.68
65585,1801,1756,57.68
37601,198,2821,92.68
37601,406,2821,92.68
37601,428,2821,92.68
1531,304,3337,109.68
1531,305,2547,83.68
1531,307,2241,73.68
1531,432,2791,91.68
1531,1112,902,29.68
70850,412,1786,58.68
70850,426,1786,58.68
70850,1801,1146,37.68
18319,426,1086,35.68
32081,201,2607,85.68
32081,1801,3886,127.68
100332,203,2913,95.68
100332,304,660,21.68
100332,306,660,21.68
100332,504,660,21.68
100332,705,1146,37.68
100332,1113,994,32.68
100332,1804,3612,118.68
100332,1813,2913,95.68
70566,108,1817,59.68
70566,1605,1268,41.68
83685,305,1238,40.68
83685,306,1238,40.68
83685,1105,994,32.68
83685,1614,4890,160.68
83685,1627,4890,160.68
66289,1630,2060,67.68
94125,1605,2182,71.68
29926,304,1421,46.68
29926,305,1421,46.68
29926,306,1421,46.68
29926,1198,1421,46.68
29926,1627,1421,46.68
84317,1617,964,31.68
83508,102,780,25.68
83508,304,1360,44.68
83508,305,1360,44.68
97331,405,721,23.68
97331,407,721,23.68
53322,407,1511,49.68
53322,713,1876,61.68
53322,1304,7600,249.68
10880,304,2210,72.68
10880,426,1177,38.68
11183,305,1421,46.68
11183,415,1055,34.68
11183,1113,1238,40.68
11183,1605,4647,152.68
44979,205,841,27.68
44979,428,841,27.68
44979,708,964,31.68
44979,1113,2241,73.68
44979,1802,2090,68.68
44979,1817,1695,55.68
44979,1898,1998,65.68
79281,304,1025,33.68
79281,1637,2182,71.68
34068,1113,1055,34.68
34068,1312,1299,42.68
11753,304,1572,51.68
11753,430,2333,76.68
11753,498,1845,60.68
11753,798,1572,51.68
11753,1704,1207,39.68
11753,1817,1480,48.68
94428,298,1177,38.68
94428,306,1603,52.68
94428,398,1603,52.68
94428,1637,811,26.68
94428,1698,933,30.68
94428,1801,872,28.68
79976,198,4008,131.68
79976,1698,1299,42.68
54801,104,994,32.68
54801,698,2972,97.68
54801,1110,2791,91.68
54801,1298,994,32.68
54801,1312,2972,97.68
54801,1898,1207,39.68
88699,428,1480,48.68
88699,1105,1480,48.68
36702,430,2913,95.68
27099,708,1511,49.68
54740,305,872,28.68
54740,406,2090,68.68
52593,423,1025,33.68
52593,1617,1055,34.68
